ACADEMIC_PERIOD,CRN,SUBJECT,COURSE_NUMBER,SUBJECT_DESC,STATUS,STATUS_DESC,TITLE_SHORT_DESC,MIN_CREDITS,MAX_CREDITS,CAMPUS_DESC,MAXIMUM_ENROLLMENT,ACTUAL_ENROLLMENT,SEATS_AVAILABLE,PERCENTAGE_OF_RESPONSIBILITY,PRIMARY_INSTRUCTOR_FIRST_NAME,PRIMARY_INSTRUCTOR_LAST_NAME,SECTION,BEGIN_TIME,END_TIME,BUILDING,BUILDING_DESC,ROOM,COURSE_CAMPUS_DESC,MONDAY_IND,TUESDAY_IND,WEDNESDAY_IND,THURSDAY_IND,FRIDAY_IND,SATURDAY_IND,SUNDAY_IND,SECTION_CROSS_LIST,WAIT_CAPACITY,WAIT_AVAIL,PART_OF_TERM,SESSION,SECTION,SCHEDULE_TYPE,TOTAL_CREDITS_SECTION,GEN1_Attr,GEN2_Attr,GEN3_Attr,GEN4_Attr,GEN5_Attr
202308,14602,MATH,1101,MATH - Mathematics,A,Active,Intro to Mathematical Modeling,3,3,Athens,85,67,18,100,Lingyun,Ma,0,1350,1440,1013,Cedar Street Building A,0319,Athens,M,,W,,F,,,,999,999,1,A,0,LEC,201,GEN1,,,,
202408,14602,MATH,1101,MATH - Mathematics,A,Active,Intro to Mathematical Modeling,3,3,Athens,85,79,6,100,Erik,Miller,0,1240,1330,1010,Dawson Hall,0116,Athens,M,,W,,F,,,,999,999,1,A,0,LEC,237,GEN1,,,,
202108,14602,MATH,1101,MATH - Mathematics,A,Active,Intro to Mathematical Modeling,3,3,Athens,95,83,12,100,Aaron,Gentry,0,1020,1110,1023,Boyd Research & Education CTR,0328,Athens,M,,W,,F,,,,999,999,1,A,0,LEC,249,GEN1,,,,
202108,14604,MATH,1101,MATH - Mathematics,X,Registrar Cancelled,Intro to Mathematical Modeling,3,3,Athens,0,0,0,,,,,,,,,,,,,,,,,,,999,999,1,B,,LEC,0,GEN1,,,,
202408,14605,MATH,1101,MATH - Mathematics,A,Active,Intro to Mathematical Modeling,3,3,Athens,85,77,8,100,Philip,Bergonio,0,0935,1050,1023,Boyd Research & Education CTR,0328,Athens,,T,,R,,,,,999,999,1,A,0,LEC,231,GEN1,,,,
202308,14605,MATH,1101,MATH - Mathematics,A,Active,Intro to Mathematical Modeling,3,3,Athens,85,79,6,100,Philip,Bergonio,0,0935,1050,1023,Boyd Research & Education CTR,0328,Athens,,T,,R,,,,,999,999,1,A,0,LEC,237,GEN1,,,,
202508,14605,MATH,1101,MATH - Mathematics,A,Active,Intro to Mathematical Modeling,3,3,Athens,85,82,3,100,Georgios,Petridis,0,0935,1050,1023,Boyd Research & Education CTR,0328,Athens,,T,,R,,,,,999,999,1,A,0,LEC,246,GEN1,,,,
202208,14605,MATH,1101,MATH - Mathematics,A,Active,Intro to Mathematical Modeling,3,3,Athens,95,85,10,100,Erik,Miller,0,1240,1330,1057,Life Sci F.Davison,C127,Athens,M,,W,,F,,,,999,999,1,A,0,LEC,255,GEN1,,,,
202108,14605,MATH,1101,MATH - Mathematics,A,Active,Intro to Mathematical Modeling,3,3,Athens,95,92,3,100,Aaron,Gentry,0,1240,1330,1023,Boyd Research & Education CTR,0328,Athens,M,,W,,F,,,,999,999,1,A,0,LEC,276,GEN1,,,,
202108,14612,MATH,1113,MATH - Mathematics,A,Active,Precalculus,3,3,Athens,19,18,1,100,Padmavathi,Srinivasan,0,0935,1050,1002,Geography Geology,0216,Athens,,T,,R,,,,,999,999,1,A,0,LEC,54,GEN1,,GEN3,,
202208,14612,MATH,1113,MATH - Mathematics,A,Active,Precalculus,3,3,Athens,19,19,0,100,Ningning,Song,0,0935,1050,1030,Marine Sci - Dance,0304,Athens,,T,,R,,,,,999,999,1,A,0,LEC,57,GEN1,,GEN3,,
202308,14612,MATH,1113,MATH - Mathematics,A,Active,Precalculus,3,3,Athens,19,19,0,100,Ye,Tian,0,1020,1110,1050,Enviro Health Sci,0101,Athens,M,,W,,F,,,,999,999,1,A,0,LEC,57,GEN1,,GEN3,,
